run_index,kernel_size,prior_size,activation_function,num_filters,lr,num_epochs,num_prediction_samples,test_accuracy,final_avg_negative_elbo_per_example,elapsed_seconds,status,error
0,5,0.5,tanh(),8,0.001,50,10,0.5845999999999999,1952.7577247913184,23.385,ok,
6,5,0.5,tanh(),16,0.001,50,10,0.5580999999999999,2006.470327658504,28.166,ok,
9,5,0.5,tanh(),32,0.001,50,10,0.5553,2052.871870097965,41.107,ok,
15,5,0.5,tanh(),128,0.001,50,10,0.557,2324.465168590545,120.352,ok,
54,5,0.75,tanh(),8,0.001,50,10,0.5808000000000001,4164.556994166821,22.593,ok,
63,5,0.75,tanh(),32,0.001,50,10,0.5696,4410.854117508084,40.673,ok,
66,5,0.75,tanh(),64,0.001,50,10,0.5834,4583.946322540641,66.857,ok,
108,5,1.0,tanh(),8,0.001,50,10,0.6023,6134.0097854071855,22.571,ok,
117,5,1.0,tanh(),32,0.001,50,10,0.5690999999999999,6407.952848234624,40.478,ok,
162,7,0.5,tanh(),8,0.001,50,10,0.57,1996.814592879638,23.129,ok,
165,7,0.5,tanh(),12,0.001,50,10,0.5612,2030.4838542757184,26.502,ok,
171,7,0.5,tanh(),32,0.001,50,10,0.5669000000000001,2119.537864049822,41.637,ok,
174,7,0.5,tanh(),64,0.001,50,10,0.5641,2229.200186522603,69.904,ok,
216,7,0.75,tanh(),8,0.001,50,10,0.5505,4306.911732131839,22.821,ok,
219,7,0.75,tanh(),12,0.001,50,10,0.5712,4305.931332713068,26.242,ok,
225,7,0.75,tanh(),32,0.001,50,10,0.5702,4457.616171797812,41.183,ok,
228,7,0.75,tanh(),64,0.001,50,10,0.6015999999999999,4644.407550966143,69.355,ok,
231,7,0.75,tanh(),128,0.001,50,10,0.5710000000000001,4995.948908671141,121.387,ok,
270,7,1.0,tanh(),8,0.001,50,10,0.5749,6263.886536758989,22.918,ok,
273,7,1.0,tanh(),12,0.001,50,10,0.577,6275.206145337224,26.343,ok,
279,7,1.0,tanh(),32,0.001,50,10,0.581,6507.292943869084,41.931,ok,
282,7,1.0,tanh(),64,0.001,50,10,0.5618,6663.983416057527,69.627,ok,
324,9,0.5,tanh(),8,0.001,50,10,0.5579,2031.9073781970887,24.418,ok,
333,9,0.5,tanh(),32,0.001,50,10,0.5718,2187.358873546496,43.801,ok,
336,9,0.5,tanh(),64,0.001,50,10,0.5630000000000001,2335.595266822353,73.328,ok,
378,9,0.75,tanh(),8,0.001,50,10,0.5564,4309.099701024592,23.693,ok,
387,9,0.75,tanh(),32,0.001,50,10,0.5967,4602.549170070738,43.489,ok,
390,9,0.75,tanh(),64,0.001,50,10,0.5567,4820.676444259137,73.195,ok,
393,9,0.75,tanh(),128,0.001,50,10,0.5719,5171.775450197756,127.706,ok,
441,9,1.0,tanh(),32,0.001,50,10,0.5804,6694.670733603686,43.979,ok,
486,11,0.5,tanh(),8,0.001,50,10,0.5697,2035.6487806639077,24.107,ok,
489,11,0.5,tanh(),12,0.001,50,10,0.5589999999999999,2086.955542383492,27.786,ok,
498,11,0.5,tanh(),64,0.001,50,10,0.5536,2396.433224164471,75.38,ok,
501,11,0.5,tanh(),128,0.001,50,10,0.5705,2701.362508521527,133.206,ok,
540,11,0.75,tanh(),8,0.001,50,10,0.5794,4349.08679179728,24.101,ok,
543,11,0.75,tanh(),12,0.001,50,10,0.5664,4414.259391559958,27.578,ok,
549,11,0.75,tanh(),32,0.001,50,10,0.5504000000000001,4607.920592830777,45.58,ok,
595,11,1.0,tanh(),8,0.005,50,10,0.5592,106.1939705106616,24.142,ok,
597,11,1.0,tanh(),12,0.001,50,10,0.5954,6460.611283922344,28.148,ok,
606,11,1.0,tanh(),64,0.001,50,10,0.572,7021.333147444874,75.873,ok,
609,11,1.0,tanh(),128,0.001,50,10,0.5529,7952.730648052096,134.216,ok,
630,11,1.0,relu(),8,0.001,50,10,0.5583,11275.78824269712,23.052,ok,
